ride_duration,count
0,1727
1,3345
2,4788
3,2638
4,2141
5,2072
6,1885
7,1777
8,1662
9,1516
10,1530
11,1443
12,1418
13,1344
14,1343
15,1319
16,1325
17,1309
18,1374
19,1319
20,1327
21,1346
22,1318
23,1401
24,1342
25,1376
26,1391
27,1444
28,1496
29,1584
30,1619
31,1747
32,1774
33,1863
34,1933
35,2014
36,2133
37,2121
38,2153
39,2092
40,2168
41,2008
42,2236
43,2202
44,2204
45,2250
46,2132
47,2242
48,2236
49,2150
50,2333
51,2411
52,2323
53,2496
54,2557
55,2426
56,2466
57,2535
58,2652
59,2741
60,6400
61,27275
62,30903
63,31229
64,31681
65,32266
66,32822
67,32644
68,33429
69,33481
70,34012
71,35115
72,35097
73,35758
74,35822
75,36714
76,36689
77,37350
78,37405
79,38431
80,38429
81,38884
82,39828
83,39969
84,40642
85,41167
86,41552
87,41651
88,42847
89,43469
90,44358
91,44379
92,45246
93,45285
94,46456
95,46391
96,47942
97,47901
98,48453
99,49273
100,49882
101,50730
102,49631
103,51918
104,52141
105,52485
106,53171
107,53253
108,54445
109,54710
110,56101
111,56102
112,56770
113,57236
114,58193
115,58181
116,59348
117,59455
118,60645
119,61216
120,61973
121,62202
122,62502
123,63380
124,63904
125,64341
126,64926
127,65994
128,66050
129,66279
130,67515
131,68487
132,69199
133,69258
134,69784
135,70535
136,70613
137,70986
138,72054
139,72617
140,72892
141,72973
142,74242
143,75249
144,75666
145,75958
146,75819
147,76505
148,77023
149,77208
150,77845
151,78427
152,79470
153,79931
154,79982
155,80267
156,80646
157,81006
158,81752
159,82710
160,82561
161,83469
162,84347
163,84139
164,85222
165,85500
166,85174
167,85602
168,87242
169,86883
170,87934
171,87869
172,88442
173,89307
174,89406
175,90099
176,89836
177,89976
178,90671
179,91045
180,91439
181,90835
182,92646
183,92602
184,91905
185,93204
186,92741
187,93932
188,94214
189,94384
190,95111
191,95568
192,95632
193,95461
194,96908
195,96579
196,97040
197,97330
198,97326
199,97043
200,97894
201,98143
202,98471
203,98785
204,98804
205,99192
206,100448
207,100099
208,100196
209,101193
210,100937
211,101130
212,100024
213,101043
214,102887
215,102165
216,102672
217,102772
218,102575
219,103151
220,103999
221,102162
222,103389
223,103110
224,104586
225,103361
226,104259
227,104777
228,104045
229,104598
230,105409
231,103667
232,105587
233,105079
234,105242
235,105939
236,106836
237,106019
238,105692
239,106917
240,106334
241,107232
242,106806
243,106089
244,107316
245,106519
246,107222
247,107563
248,107708
249,107734
250,107229
251,107948
252,108981
253,107631
254,107602
255,107124
256,109074
257,108349
258,108691
259,108869
260,109326
261,108302
262,108624
263,108934
264,109004
265,109042
266,109082
267,107899
268,109030
269,109359
270,108723
271,109317
272,109535
273,109304
274,109470
275,108551
276,109551
277,108664
278,109522
279,108416
280,109298
281,109271
282,108881
283,108468
284,110004
285,109585
286,109336
287,109889
288,109430
289,108741
290,109207
291,109354
292,109591
293,109137
294,109636
295,108814
296,110261
297,109612
298,109146
299,109470
300,109275
301,109497
302,109736
303,108733
304,108903
305,108458
306,109500
307,109434
308,109134
309,108854
310,108335
311,109291
312,108318
313,109345
314,108851
315,107558
316,108591
317,108202
318,108947
319,108095
320,107438
321,107877
322,108693
323,108281
324,108099
325,107429
326,107652
327,107188
328,107802
329,107280
330,108131
331,106926
332,107624
333,107596
334,108246
335,106625
336,107667
337,107832
338,107474
339,106195
340,107951
341,106778
342,106757
343,105786
344,106242
345,106535
346,105629
347,106133
348,107274
349,106128
350,107031
351,105724
352,105437
353,105258
354,105894
355,105390
356,105495
357,105263
358,104895
359,104457
360,105373
361,103653
362,105072
363,104033
364,103695
365,104543
366,104324
367,103771
368,104328
369,103896
370,103172
371,102942
372,102842
373,103395
374,103211
375,103472
376,103244
377,102660
378,102718
379,103531
380,102242
381,101875
382,101701
383,102244
384,101176
385,100758
386,101718
387,101218
388,101700
389,101085
390,101030
391,101428
392,100882
393,101301
394,100454
395,99784
396,100809
397,100051
398,99851
399,98840
400,100012
401,99848
402,99256
403,99830
404,98541
405,98950
406,98288
407,98980
408,98523
409,98473
410,98341
411,97295
412,97111
413,97316
414,97370
415,97216
416,97283
417,96769
418,97559
419,96174
420,97538
421,95505
422,95960
423,95819
424,96575
425,96179
426,95635
427,95679
428,96322
429,93982
430,95711
431,95099
432,94530
433,94460
434,94727
435,94179
436,94296
437,93696
438,93614
439,94525
440,93028
441,93830
442,93712
443,93023
444,92921
445,93030
446,92736
447,92202
448,92295
449,91870
450,92578
451,91540
452,91888
453,90973
454,92073
455,90790
456,91416
457,91015
458,90963
459,90926
460,89801
461,90476
462,90530
463,90025
464,90360
465,89447
466,89732
467,89579
468,89947
469,90192
470,88615
471,88199
472,88190
473,88349
474,88626
475,88299
476,87743
477,87873
478,87704
479,86621
480,88189
481,87276
482,87309
483,87358
484,87420
485,87035
486,87045
487,85874
488,86171
489,86628
490,86314
491,85535
492,84894
493,85329
494,85109
495,85322
496,85063
497,85232
498,84899
499,83946
500,84837
501,83786
502,84111
503,83562
504,83722
505,83197
506,83618
507,83245
508,83282
509,82813
510,83115
511,82995
512,83041
513,81933
514,81907
515,81788
516,81941
517,81843
518,81019
519,80760
520,81518
521,81319
522,80756
523,80789
524,80101
525,80244
526,81033
527,80528
528,79837
529,79527
530,79433
531,78627
532,79580
533,78507
534,79277
535,79153
536,79978
537,78903
538,78385
539,78549
540,78540
541,77856
542,78453
543,78149
544,77906
545,77931
546,77870
547,77389
548,77012
549,77154
550,76975
551,76498
552,77572
553,76281
554,76876
555,76105
556,75792
557,76321
558,75699
559,76224
560,75373
561,75213
562,75063
563,74465
564,74200
565,73813
566,74516
567,74057
568,73896
569,74020
570,74452
571,73345
572,73605
573,73490
574,74324
575,73161
576,73577
577,73123
578,71996
579,73728
580,72441
581,72491
582,72974
583,72646
584,71504
585,71909
586,71261
587,71591
588,71729
589,71306
590,71401
591,71149
592,70908
593,70071
594,70590
595,70355
596,70424
597,69820
598,70001
599,70984
600,69956
601,69515
602,69586
603,68765
604,69522
605,68522
606,69031
607,68502
608,68731
609,67358
610,68765
611,68825
612,68540
613,68539
614,67995
615,67925
616,67490
617,67398
618,67590
619,67010
620,67134
621,66819
622,67338
623,66766
624,66548
625,66610
626,66359
627,65648
628,66588
629,66060
630,65921
631,65065
632,66155
633,65978
634,64908
635,65402
636,65218
637,64704
638,64762
639,64849
640,64315
641,64123
642,64262
643,63748
644,64187
645,64393
646,63707
647,63729
648,63922
649,63363
650,63547
651,63496
652,63682
653,62924
654,62562
655,62585
656,62419
657,62384
658,62461
659,62518
660,62099
661,62068
662,61976
663,61617
664,61312
665,61892
666,61398
667,60794
668,60926
669,60560
670,60706
671,61078
672,60484
673,59865
674,60033
675,60153
676,60675
677,60013
678,59508
679,60317
680,60048
681,60038
682,59040
683,59558
684,59507
685,58788
686,59218
687,58659
688,58561
689,58900
690,57731
691,58394
692,57622
693,58870
694,58013
695,58391
696,57821
697,57932
698,57869
699,57739
700,57616
701,57134
702,56301
703,56915
704,57454
705,57146
706,56510
707,56432
708,56241
709,55963
710,56394
711,55805
712,55583
713,55666
714,55720
715,55539
716,55639
717,54932
718,55520
719,55287
720,55448
721,55351
722,54799
723,54938
724,54855
725,54461
726,55319
727,54378
728,54041
729,54347
730,54534
731,53501
732,53822
733,54568
734,53749
735,53898
736,53711
737,53284
738,53003
739,53045
740,52873
741,53060
742,53561
743,52660
744,52956
745,52826
746,52432
747,52164
748,52045
749,52068
750,51449
751,51543
752,52366
753,52193
754,52090
755,51782
756,51563
757,51426
758,51584
759,51148
760,51314
761,51049
762,51310
763,50882
764,50302
765,50795
766,50843
767,49893
768,50375
769,50161
770,50251
771,49528
772,49352
773,49688
774,49991
775,49496
776,49339
777,49702
778,49407
779,49449
780,48859
781,49096
782,48900
783,48638
784,48659
785,47963
786,47934
787,48375
788,48191
789,47783
790,47939
791,47859
792,47461
793,48347
794,48051
795,47664
796,47458
797,47572
798,47291
799,47176
800,47340
801,46453
802,47031
803,46940
804,46762
805,46856
806,46988
807,46811
808,46833
809,45736
810,46312
811,46452
812,46452
813,46712
814,46381
815,45398
816,46103
817,46323
818,45362
819,45518
820,45642
821,45005
822,44792
823,45268
824,45193
825,44587
826,44473
827,44973
828,44956
829,45243
830,44762
831,44103
832,44407
833,43903
834,43825
835,44036
836,44152
837,43883
838,44081
839,43363
840,43410
841,43694
842,43484
843,43668
844,43963
845,42613
846,43179
847,42932
848,42453
849,43256
850,43141
851,42043
852,42634
853,42438
854,42503
855,42626
856,42362
857,42598
858,42487
